date,state,lat_1,u_1,lat_2,u_2,interjet_min
2021-05-01,double,22.25,29.82548037442294,44.0,29.3258262981068,9.265985575589267
2021-05-02,double,20.5,28.11673593521118,43.0,24.397342681884766,12.502564256841486
2021-05-03,double,20.75,26.205812454223633,44.75,27.53320954062722,13.064275741577148
2021-05-04,double,23.5,27.598106210882012,44.25,33.91414364901456,10.945810231295498
2021-05-05,double,23.25,26.29688835144043,47.25,40.40904513272372,12.09806303544478
2021-05-06,double,24.25,24.00630604137074,47.25,45.99786793101918,12.377931681546299
2021-05-07,double,24.5,25.39659274708141,46.0,40.69621519608931,14.518090161410244
2021-05-08,double,23.75,24.829598513516512,46.25,33.45951461791992,15.079763585870916
2021-05-09,single,38.25,24.9284874309193,,,
2021-05-10,double,40.75,30.19233547557484,67.0,20.64033456282182,6.258050441741943
2021-05-11,double,43.25,36.98360477794301,68.75,23.26636383750222,-2.774287787350741
2021-05-12,double,42.25,37.80420129949396,68.5,23.731143604625355,-6.940436493266713
2021-05-13,double,41.5,40.02555881847035,70.0,19.984278765591707,-10.878444931723855
2021-05-14,double,43.25,38.134246132590555,72.25,19.005051005970348,-8.906047474254262
2021-05-15,double,45.5,42.685978629372336,71.5,17.48736745660955,-6.408907326785001
2021-05-16,single,44.25,45.42391031438654,,,
2021-05-17,single,44.0,50.95870382135565,,,
2021-05-18,single,45.0,40.852900071577594,,,
2021-05-19,single,42.75,36.00368257002397,,,
2021-05-20,single,41.75,34.73029292713512,,,
2021-05-21,single,41.75,35.196498524058946,,,
2021-05-22,single,37.75,28.456741853193805,,,
2021-05-23,single,48.25,33.771213878284804,,,
2021-05-24,single,45.75,27.83456906405362,,,
2021-05-25,single,45.0,26.353485627607867,,,
2021-05-26,single,49.25,29.623770453713156,,,
2021-05-27,double,24.75,21.172103014859285,51.0,29.507963180541992,12.045531793074174
2021-05-28,double,21.5,20.649396896362305,51.0,29.661979155106977,9.02424482865767
2021-05-29,single,47.5,28.646741000088777,,,
2021-05-30,single,47.75,27.15368513627486,,,
2021-05-31,single,42.0,20.91901987249201,,,
2021-06-01,double,22.5,24.14544036171653,39.0,21.957711653275922,3.8437682715329258
2021-06-02,double,21.0,24.092220878601076,38.5,17.52335010875355,9.287777120416814
2021-06-03,single,50.5,17.470564061945137,,,
2021-06-04,double,21.5,22.588214007290926,73.5,23.402843822132457,-4.652620922435414
2021-06-05,double,21.75,22.07079488580877,47.0,22.748336098410867,7.047340653159401
2021-06-06,double,21.75,20.890256534923207,45.25,20.879480188543145,5.043670524250377
